race,sentence,sentence_severity,sentence_severity_3,worst_crime_display,sex,wc_bucket,diff_conv_ex
Black,Life,Yes,Life in prison/death,Child Sex Abuse,Male,b2,14
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,14
Black,20 to Life,No,Some prison sentence,Sexual Assault,Male,b1,16
White,Life without parole,Yes,Life in prison/death,Murder,Male,b1,28
Black,20 to Life,No,Some prison sentence,Robbery,Male,b2,6
Hispanic,90 years,No,Some prison sentence,Murder,Male,b1,18
Hispanic,2 years and 4 months,No,Some prison sentence,Sex Offender Registration,Male,b5,12
Hispanic,12 years,No,Some prison sentence,Manslaughter,Male,b1,5
White,Probation,No,Probation/not sentenced/unknown,Theft,Female,b4,4
Black,25 years,No,Some prison sentence,Sexual Assault,Male,b1,25
Black,1 year,No,Some prison sentence,Drug Possession or Sale,Male,b5,16
Black,Life,Yes,Life in prison/death,Murder,Male,b1,19
Black,28 years,No,Some prison sentence,Sexual Assault,Male,b1,7
White,1 year,No,Some prison sentence,Murder,Male,b1,1
Black,90 days,No,Some prison sentence,Drug Possession or Sale,Male,b5,7
Black,75 years,No,Some prison sentence,Murder,Male,b1,18
Black,Death,Yes,Life in prison/death,Murder,Male,b1,30
White,Death,Yes,Life in prison/death,Murder,Male,b1,12
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,31
Black,Not sentenced,No,Probation/not sentenced/unknown,Menacing,Female,b8,1
Black,Life,Yes,Life in prison/death,Murder,Male,b1,14
Black,Probation,No,Probation/not sentenced/unknown,Assault,Male,b2,0
Black,Probation,No,Probation/not sentenced/unknown,Assault,Male,b2,0
Black,30 years,No,Some prison sentence,Murder,Male,b1,7
Black,30 years,No,Some prison sentence,Robbery,Male,b2,13
Hispanic,55 years,No,Some prison sentence,Murder,Male,b1,4
Hispanic,Death,Yes,Life in prison/death,Murder,Male,b1,12
Black,3 to 6 years,No,Some prison sentence,Weapon Possession or Sale,Male,NA,5
Black,Death,Yes,Life in prison/death,Murder,Male,b1,39
Black,21 years,No,Some prison sentence,"Attempt, Violent",Male,b3,20
White,45 days,No,Some prison sentence,Drug Possession or Sale,Female,b5,6
White,26 to life,No,Some prison sentence,Murder,Male,b1,29
Hispanic,Death,Yes,Life in prison/death,Murder,Male,b1,15
Black,5 to 7 1/2 years,No,Some prison sentence,Theft,Male,b4,1
White,Life,Yes,Life in prison/death,Child Sex Abuse,Male,b2,12
Hispanic,Probation,No,Probation/not sentenced/unknown,Other Violent Misdemeanor,Male,NA,3
White,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Female,b5,9
Hispanic,12 years,No,Some prison sentence,Sexual Assault,Male,b1,4
White,Not sentenced,No,Probation/not sentenced/unknown,Child Sex Abuse,Male,b2,2
White,Life,Yes,Life in prison/death,Murder,Male,b1,21
Black,Life without parole,Yes,Life in prison/death,Sexual Assault,Male,b1,38
Black,70 years,No,Some prison sentence,Sexual Assault,Male,b1,3
Black,32 years five months to 62 years five months,No,Some prison sentence,Murder,Male,b1,4
Hispanic,25 to 50 years,No,Some prison sentence,Child Sex Abuse,Male,b2,5
Black,1 year,No,Some prison sentence,Drug Possession or Sale,Male,b5,13
White,99 years,No,Some prison sentence,Murder,Male,b1,28
Black,144 years,No,Some prison sentence,Murder,Male,b1,4
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Female,b5,15
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Female,b5,15
Black,Not sentenced,No,Probation/not sentenced/unknown,Kidnapping,Male,b3,0
Black,Life,Yes,Life in prison/death,Murder,Male,b1,19
Black,18 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,3
Black,43 3/4 to 54 years,No,Some prison sentence,Murder,Male,b1,17
White,Life without parole,Yes,Life in prison/death,Murder,Male,b1,13
Black,Probation,No,Probation/not sentenced/unknown,Assault,Male,b2,3
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,34
Black,Life,Yes,Life in prison/death,Child Sex Abuse,Male,b2,28
Black,95 years,No,Some prison sentence,Murder,Male,b1,30
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,14
White,2 years and 6 months,No,Some prison sentence,Weapon Possession or Sale,Male,NA,4
Hispanic,Life without parole,Yes,Life in prison/death,Murder,Male,b1,32
Hispanic,Life without parole,Yes,Life in prison/death,Murder,Male,b1,22
Black,2 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,12
Black,3 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,13
Hispanic,Life,Yes,Life in prison/death,Murder,Male,b1,16
Black,4 years,No,Some prison sentence,Sexual Assault,Male,b1,3
Hispanic,6 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,1
Hispanic,8 years,No,Some prison sentence,Assault,Male,b2,4
Hispanic,12 years,No,Some prison sentence,Manslaughter,Male,b1,5
Hispanic,12 years,No,Some prison sentence,Manslaughter,Male,b1,5
Hispanic,25 to life,No,Some prison sentence,Murder,Male,b1,10
Hispanic,14 years,No,Some prison sentence,Robbery,Male,b2,7
Hispanic,Not sentenced,No,Probation/not sentenced/unknown,Bribery,Male,b6,1
White,Life,Yes,Life in prison/death,Murder,Male,b1,2
Hispanic,15 years,No,Some prison sentence,Assault,Male,b2,9
White,Life,Yes,Life in prison/death,Murder,Male,b1,5
Black,7 years and 6 months,No,Some prison sentence,Assault,Male,b2,6
White,45 years,No,Some prison sentence,Murder,Male,b1,21
Black,4 months,No,Some prison sentence,Drug Possession or Sale,Male,b5,7
Black,Death,Yes,Life in prison/death,Murder,Male,b1,17
White,55 years,No,Some prison sentence,Murder,Male,b1,33
White,Probation,No,Probation/not sentenced/unknown,Manslaughter,Female,b1,7
White,5 to 15 years,No,Some prison sentence,Sexual Assault,Male,b1,10
Black,1 year and 6 months,No,Some prison sentence,Drug Possession or Sale,Male,b5,18
Black,15 to 22 years,No,Some prison sentence,Robbery,Male,b2,9
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,18
Black,Not sentenced,No,Probation/not sentenced/unknown,Burglary/Unlawful Entry,Male,b4,0
Black,17 years,No,Some prison sentence,Robbery,Male,b2,4
White,9 days,No,Some prison sentence,Other Violent Felony,Male,b3,3
Black,Life,Yes,Life in prison/death,Sexual Assault,Male,b1,20
Black,15 years,No,Some prison sentence,Assault,Male,b2,10
Black,50 years,No,Some prison sentence,Murder,Male,b1,13
Hispanic,60 years,No,Some prison sentence,Murder,Male,b1,26
Hispanic,10 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,3
Black,25 to Life,No,Some prison sentence,Murder,Male,b1,6
Black,Life,Yes,Life in prison/death,Murder,Male,b1,46
Black,Life,Yes,Life in prison/death,Murder,Male,b1,23
Hispanic,16 2/3 to 50 years,No,Some prison sentence,Attempted Murder,Male,b1,24
Asian,Not sentenced,No,Probation/not sentenced/unknown,Fraud,Male,b6,3
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,6
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,16
Black,40 years,No,Some prison sentence,Attempted Murder,Male,b1,4
White,Life without parole,Yes,Life in prison/death,Murder,Male,b1,23
Hispanic,6 3/4 to Life,No,Some prison sentence,Child Sex Abuse,Male,b2,7
White,10 to 25 years,No,Some prison sentence,Robbery,Male,b2,4
Black,Not sentenced,No,Probation/not sentenced/unknown,Assault,Male,b2,1
Hispanic,Life,Yes,Life in prison/death,Murder,Male,b1,3
White,99 years,No,Some prison sentence,Murder,Male,b1,29
Black,1 year,No,Some prison sentence,Sex Offender Registration,Male,b5,13
Black,3 years,No,Some prison sentence,Sex Offender Registration,Male,b5,4
Black,4 days,No,Some prison sentence,Drug Possession or Sale,Male,b5,1
Black,Life,Yes,Life in prison/death,Murder,Male,b1,18
White,Life,Yes,Life in prison/death,Murder,Male,b1,28
White,14 to 30 years,No,Some prison sentence,Child Sex Abuse,Male,b2,6
Black,25 years,No,Some prison sentence,Child Sex Abuse,Male,b2,7
Black,25 years,No,Some prison sentence,Murder,Male,b1,15
Hispanic,20 to Life,No,Some prison sentence,Murder,Male,b1,17
Hispanic,Life without parole,Yes,Life in prison/death,Murder,Male,b1,9
Hispanic,116 days,No,Some prison sentence,Theft,Male,b4,0
Hispanic,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Female,b5,1
White,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,4
Black,90 years,No,Some prison sentence,Murder,Male,b1,13
Black,Life,Yes,Life in prison/death,Murder,Male,b1,30
Black,Life,Yes,Life in prison/death,Murder,Male,b1,16
Black,45 years and 8 months,No,Some prison sentence,Sexual Assault,Male,b1,12
White,10 years,No,Some prison sentence,Sexual Assault,Male,b1,4
Black,32 to Life,No,Some prison sentence,Murder,Male,b1,20
Black,28 to life,No,Some prison sentence,Attempted Murder,Male,b1,8
Black,2 to 4 years,No,Some prison sentence,Weapon Possession or Sale,Male,NA,1
Black,20 years,No,Some prison sentence,Burglary/Unlawful Entry,Male,b4,1
Black,18 to life,No,Some prison sentence,Murder,Male,b1,26
Black,4 years,No,Some prison sentence,Burglary/Unlawful Entry,Male,b4,3
Black,Life,Yes,Life in prison/death,Murder,Male,b1,27
Black,20 to 50 years,No,Some prison sentence,Murder,Male,b1,10
White,32 years,No,Some prison sentence,Attempted Murder,Male,b1,18
Black,40 years,No,Some prison sentence,Murder,Male,b1,5
Hispanic,16 to 18 years,No,Some prison sentence,Sexual Assault,Male,b1,8
White,3 years,No,Some prison sentence,Arson,Male,b2,6
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,11
Black,25 to life,No,Some prison sentence,Murder,Male,b1,15
Black,25 to life,No,Some prison sentence,Murder,Male,b1,16
White,14 to 50 years,No,Some prison sentence,Attempted Murder,Male,b1,8
Black,Life,Yes,Life in prison/death,Murder,Male,b1,55
Black,48 years,No,Some prison sentence,Murder,Male,b1,6
Black,2 months,No,Some prison sentence,Arson,Male,b2,2
Black,Life,Yes,Life in prison/death,Murder,Male,b1,6
Black,1 year,No,Some prison sentence,Drug Possession or Sale,Male,b5,0
Black,80 years,No,Some prison sentence,Murder,Male,b1,28
White,15 years,No,Some prison sentence,Manslaughter,Female,b1,4
White,6 years and 3 months,No,Some prison sentence,Child Sex Abuse,Male,b2,11
Black,Life,Yes,Life in prison/death,Child Sex Abuse,Male,b2,35
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,19
Black,18 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,10
Black,4 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,10
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,1
Black,Not sentenced,No,Probation/not sentenced/unknown,Robbery,Male,b2,0
Black,Life,Yes,Life in prison/death,Murder,Male,b1,28
White,20 years,No,Some prison sentence,Child Sex Abuse,Male,b2,5
White,Life,Yes,Life in prison/death,Assault,Male,b2,1
Black,60 to life,No,Some prison sentence,Murder,Male,b1,24
White,5 years,No,Some prison sentence,Burglary/Unlawful Entry,Male,b4,2
Black,4 years,No,Some prison sentence,Drug Possession or Sale,Female,b5,1
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,0
White,8 months,No,Some prison sentence,Drug Possession or Sale,Male,b5,2
White,5 years,No,Some prison sentence,Child Sex Abuse,Female,b2,6
Black,Life without parole,Yes,Life in prison/death,Sexual Assault,Male,b1,22
Black,4 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,2
White,9 years,No,Some prison sentence,Murder,Male,b1,12
Hispanic,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,0
Black,7 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,2
Black,Life,Yes,Life in prison/death,Murder,Male,b1,4
Black,6 years,No,Some prison sentence,Sexual Assault,Male,b1,9
Black,50 years,No,Some prison sentence,Murder,Male,b1,5
Black,15 years,No,Some prison sentence,Manslaughter,Male,b1,2
Black,Not sentenced,No,Probation/not sentenced/unknown,Conspiracy,Male,b7,3
White,Life,Yes,Life in prison/death,Child Sex Abuse,Male,b2,24
White,35 years,No,Some prison sentence,Murder,Male,b1,3
Black,10 years,No,Some prison sentence,Sexual Assault,Male,b1,34
White,Life without parole,Yes,Life in prison/death,Murder,Male,b1,7
Black,16 years,No,Some prison sentence,Robbery,Male,b2,1
Black,16 years,No,Some prison sentence,Child Sex Abuse,Male,b2,7
Black,Unknown,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,1
White,Life without parole,Yes,Life in prison/death,Child Sex Abuse,Male,b2,3
Black,Life,Yes,Life in prison/death,Murder,Male,b1,19
White,10 years,No,Some prison sentence,Drug Possession or Sale,Female,b5,1
White,5 years and 6 months,No,Some prison sentence,Drug Possession or Sale,Male,b5,1
White,25 to Life,No,Some prison sentence,Murder,Male,b1,20
White,36 years,No,Some prison sentence,Murder,Male,b1,13
White,40,No,Some prison sentence,Murder,Male,b1,13
White,80 years,No,Some prison sentence,Sexual Assault,Male,b1,25
Black,85 years,No,Some prison sentence,Murder,Male,b1,14
Hispanic,45 days,No,Some prison sentence,Drug Possession or Sale,Male,b5,0
Hispanic,Unknown,No,Probation/not sentenced/unknown,Weapon Possession or Sale,Male,NA,4
Black,10 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,3
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,3
White,4 days,No,Some prison sentence,Drug Possession or Sale,Male,b5,1
White,Life,Yes,Life in prison/death,Child Sex Abuse,Male,b2,23
White,18 to Life,No,Some prison sentence,Sexual Assault,Male,b1,7
Black,50 years,No,Some prison sentence,Robbery,Male,b2,22
Black,30 years,No,Some prison sentence,Murder,Male,b1,27
Black,20 years,No,Some prison sentence,Murder,Male,b1,10
Black,2 to 6 years,No,Some prison sentence,Weapon Possession or Sale,Male,NA,4
Hispanic,25 to life,No,Some prison sentence,Robbery,Male,b2,24
Black,20 to life,No,Some prison sentence,Murder,Male,b1,20
Black,2 years,No,Some prison sentence,Drug Possession or Sale,Female,b5,1
White,30 years,No,Some prison sentence,Sexual Assault,Male,b1,14
White,10 to 15 years,No,Some prison sentence,Child Abuse,Female,b2,5
Hispanic,40 to Life,No,Some prison sentence,Attempted Murder,Male,b1,10
Black,16 years,No,Some prison sentence,Sexual Assault,Male,b1,9
Black,7 months,No,Some prison sentence,Drug Possession or Sale,Male,b5,8
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Female,b5,17
White,50 years,No,Some prison sentence,Murder,Male,b1,14
Black,25 years,No,Some prison sentence,Murder,Male,b1,1
White,Life without parole,Yes,Life in prison/death,Murder,Male,b1,7
Hispanic,25 to 75 years,No,Some prison sentence,Child Sex Abuse,Male,b2,3
Black,18 years,No,Some prison sentence,Robbery,Male,b2,10
Black,1 year,No,Some prison sentence,Drug Possession or Sale,Male,b5,1
White,Not sentenced,No,Probation/not sentenced/unknown,Assault,Female,b2,0
Black,15 to Life,No,Some prison sentence,Murder,Male,b1,6
Native American,Probation,No,Probation/not sentenced/unknown,Other,Male,b9,3
White,20 years,No,Some prison sentence,Manslaughter,Male,b1,2
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,11
Black,12 1/2 to 25 years,No,Some prison sentence,Robbery,Male,b2,10
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,22
Black,120 days,No,Some prison sentence,Drug Possession or Sale,Male,b5,3
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,18
